,anonymousId,utm_source,utm_medium,utm_campaign,session_start_time,"duration, m"
148,2eddd0d0-0c61-11e8-b16e-43ff49599de8,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 23:47:16.111999+00:00,0.0
149,2eddd0d0-0c61-11e8-b16e-43ff49599de8,No data,No data,No data,2018-02-07 23:47:22.206000+00:00,0.18333333333333332
150,30a63330-0bfd-11e8-8f83-c161bfd62ace,No data,No data,No data,2018-02-07 11:51:11.529999+00:00,0.7833333333333333
151,30ca3b50-0c10-11e8-ba21-ef59816ba6f7,No data,No data,No data,2018-02-07 14:07:13.601999+00:00,0.0
152,31f996c0-0c14-11e8-8463-5fdca7b20239,No data,No data,No data,2018-02-07 14:35:51.509999+00:00,8.383333333333333
153,328229e0-0c23-11e8-9816-8704a204472a,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,ur54RH5Ne+LWtBGm0Yux8w==,2018-02-07 16:18:51.575000+00:00,0.016666666666666666
154,328229e0-0c23-11e8-9816-8704a204472a,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,Hu6FE/orzevU8B8hTe3Gdw==,2018-02-07 16:19:05.010999+00:00,1.1833333333333333
155,328229e0-0c23-11e8-9816-8704a204472a,mN79bucN+x3qQWzs3zkfWA==,page,sUTw6n3ggjy/pmior2JzOg==,2018-02-07 16:20:34.832000+00:00,0.2833333333333333
156,328229e0-0c23-11e8-9816-8704a204472a,No data,No data,No data,2018-02-07 16:20:56.536999+00:00,2.433333333333333
157,3287a6f0-0c09-11e8-8e9c-05c00df7e31c,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,7CyejM5VDmcQeKKWFXPjJQ==,2018-02-07 13:17:39.112999+00:00,7.033333333333333
158,3349b7e0-0bdc-11e8-a365-0b497e671faf,No data,No data,No data,2018-02-07 07:55:10.362999+00:00,5.633333333333334
159,33ab6aa0-0c02-11e8-a0cb-554c31fcfe48,yCLBtjhT7Sc7iWh6xQX5+g==,cpc,No data,2018-02-07 12:27:00.062999+00:00,0.75
160,33c0eb80-0b5f-11e8-8983-71b9e8185fd5,No data,No data,No data,2018-02-07 16:54:29.684000+00:00,0.0
161,33d165d0-0bd9-11e8-b5d6-054063ab8c41,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,Hu6FE/orzevU8B8hTe3Gdw==,2018-02-07 07:33:34.279000+00:00,0.0
162,34a22280-0c09-11e8-92b9-4f505f474aa1,No data,No data,No data,2018-02-07 13:17:12.414000+00:00,0.0
163,35cbbbc0-0bc4-11e8-a7f1-49c93eebe183,No data,No data,No data,2018-02-07 05:03:18.404999+00:00,0.0
164,367a8a00-0c1f-11e8-b0c3-eb3eaea5fb8b,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 15:54:43.819000+00:00,0.0
165,367a8a00-0c1f-11e8-b0c3-eb3eaea5fb8b,No data,No data,No data,2018-02-07 15:54:51.154999+00:00,1.35
166,367a8a00-0c1f-11e8-b0c3-eb3eaea5fb8b,No data,No data,No data,2018-02-07 20:17:56.530999+00:00,0.5
167,36a6e670-0bf9-11e8-b28c-cd633dcd685f,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,u2mdI0mp5IOKcu2glaqR2Q==,2018-02-07 11:22:47.200999+00:00,0.0
168,36a6e670-0bf9-11e8-b28c-cd633dcd685f,No data,No data,No data,2018-02-07 11:22:54.813999+00:00,0.3333333333333333
169,3703e070-0c2e-11e8-aaff-118ca6f91a61,No data,No data,No data,2018-02-07 17:42:06.977999+00:00,0.3
170,381590d0-0c29-11e8-bbc6-e19702ffd713,No data,No data,No data,2018-02-07 17:08:21.628999+00:00,3.45
171,38259c30-0bc2-11e8-8ec6-8d5e947e129b,No data,No data,No data,2018-02-07 04:49:04.305999+00:00,136.11666666666667
172,38d9f910-0bb7-11e8-8992-4ba4209c316a,No data,No data,No data,2018-02-07 03:30:20.296000+00:00,0.0
173,39b7f4b0-0b01-11e8-b36f-2b707d3691a4,No data,No data,No data,2018-02-07 05:04:30.122999+00:00,16.883333333333333
174,39f56da0-0bd7-11e8-a769-973bed50f83c,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,scMIE0HCE9amvF9RU2DiyQ==,2018-02-07 07:19:27.158999+00:00,0.0
175,3a47b0e0-0c1a-11e8-a44e-0f5a4b0e570a,No data,No data,No data,2018-02-07 15:19:03.516999+00:00,0.0
